timestamp,open,high,low,close,volume
1700006180,164.7431,165.0786,164.4579,165.0616,1290
1700006240,165.0616,165.5044,164.9946,165.4364,1056
1700006300,165.4364,165.6005,165.4124,165.4206,1637
1700006360,165.4206,166.0247,165.4117,166.016,1058
1700006420,166.016,166.0582,165.7758,165.95,1105
1700006480,165.95,166.2997,165.8544,166.2645,929
1700006540,166.2645,166.7162,166.0638,166.5053,1169
1700006600,166.5053,167.3038,166.3238,167.2059,889
1700006660,167.2059,167.2144,166.4336,166.7394,1010
1700006720,166.7394,166.9961,166.7328,166.8258,1425
1700006780,166.8258,167.0205,166.3854,166.594,1143
1700006840,166.594,166.735,166.5674,166.6754,1432
1700006900,166.6754,166.8448,166.5467,166.6168,1366
1700006960,166.6168,166.8372,166.4138,166.5548,1320
1700007020,166.5548,166.596,166.3131,166.355,1501
1700007080,166.355,166.8946,166.256,166.7827,642
1700007140,166.7827,167.0577,166.643,166.9115,1210
1700007200,166.9115,167.5584,166.6938,167.2616,1442
1700007260,167.2616,167.3201,166.7495,166.7689,1407
1700007320,166.7689,166.7832,166.4854,166.6019,1587
1700007380,166.6019,166.6528,166.2768,166.3534,1231
1700007440,166.3534,166.3777,166.0516,166.2032,1438
1700007500,166.2032,166.563,166.0937,166.5265,1451
1700007560,166.5265,166.7503,166.4947,166.7048,1459
1700007620,166.7048,166.8509,166.6218,166.6254,633
1700007680,166.6254,166.6874,166.3384,166.5236,1245
1700007740,166.5236,166.702,166.3703,166.7019,776
1700007800,166.7019,166.9069,166.2161,166.3109,1137
1700007860,166.3109,166.3929,166.1547,166.3819,1518
1700007920,166.3819,166.423,166.0091,166.0888,713
1700007980,166.0888,166.3688,166.0878,166.191,1052
1700008040,166.191,166.7688,166.1644,166.4176,1242
1700008100,166.4176,166.626,166.0016,166.1468,1121
1700008160,166.1468,166.2048,165.9446,166.0211,807
1700008220,166.0211,166.4878,165.9019,166.3339,871
1700008280,166.3339,167.1545,166.3058,166.8571,928
1700008340,166.8571,166.92,166.36,166.4968,1189
1700008400,166.4968,166.9492,166.1962,166.7231,1670
1700008460,166.7231,166.9353,166.2094,166.2519,890
1700008520,166.2519,166.6381,166.039,166.0732,1740
1700008580,166.0732,166.114,165.4177,165.6398,1391
1700008640,165.6398,165.9291,165.4424,165.4732,1088
1700008700,165.4732,165.6132,165.2737,165.5378,1290
1700008760,165.5378,165.5626,165.3305,165.3864,1046
1700008820,165.3864,165.6713,165.2215,165.4126,1721
1700008880,165.4126,165.5268,164.8801,165.2411,1246
1700008940,165.2411,165.6714,164.9912,165.5496,1236
1700009000,165.5496,165.7495,165.0301,165.2937,1230
1700009060,165.2937,165.4283,165.2482,165.3701,960
1700009120,165.3701,165.4528,164.8238,164.9772,1139
1700009180,164.9772,165.1102,164.8369,164.8714,971
1700009240,164.8714,164.9466,164.7447,164.7711,1341
1700009300,164.7711,164.8273,164.1414,164.1823,1392
1700009360,164.1823,164.2058,163.4339,163.6115,1146
1700009420,163.6115,163.6779,163.4491,163.4855,1402
1700009480,163.4855,163.5079,163.2936,163.4087,1148
1700009540,163.4087,163.7093,163.3839,163.6792,1052
1700009600,163.6792,163.6931,163.582,163.618,1534
1700009660,163.618,163.9397,163.1029,163.1075,1796
1700009720,163.1075,163.1429,162.8987,163.091,1220
1700009780,163.091,163.1686,162.7935,162.9277,521
1700009840,162.9277,163.077,162.7856,163.0205,1088
1700009900,163.0205,163.1361,162.5644,162.5874,910
1700009960,162.5874,162.7631,162.4559,162.6962,1032
1700010020,162.6962,162.7178,162.44,162.5048,1165
1700010080,162.5048,162.7091,162.4345,162.4401,1322
1700010140,162.4401,162.6249,162.2832,162.3662,1455
1700010200,162.3662,162.519,162.0285,162.1463,1250
1700010260,162.1463,162.4294,161.8352,161.931,1294
1700010320,161.931,162.1879,161.5646,161.7867,910
1700010380,161.7867,161.8548,161.7229,161.7359,1368
1700010440,161.7359,161.8162,161.383,161.6231,1394
1700010500,161.6231,161.7756,160.9403,161.0775,1046
1700010560,161.0775,161.1016,160.6444,160.7387,1337
1700010620,160.7387,160.7773,160.0944,160.3415,836
1700010680,160.3415,160.537,160.1046,160.2072,1235
1700010740,160.2072,160.4617,159.8239,159.849,1168
